Parent Name,Parent Artifact Type,Child Name,Child Artifact Type
Empower_WK.LN_DOCGEN,RMO Table,Empower_WK.LN_DOCGEN.SETTLEMENT_DATE,RMO Column
Empower_WK.LN_MERSDATA,RMO Table,Empower_WK.LN_MERSDATA.FHLB_FRB,RMO Column
Empower_WK.LN_PLANDAT,RMO Table,Empower_WK.LN_PLANDAT.MARGIN,RMO Column
Empower_WK.LN_PLANDAT,RMO Table,Empower_WK.LN_PLANDAT.INDEXRATE,RMO Column
Empower_WK.LN_DEEDDATA,RMO Table,Empower_WK.LN_DEEDDATA.LOT_NUMBER,RMO Column
Empower_WK.LN_DEEDDATA,RMO Table,Empower_WK.LN_DEEDDATA.BLOCK,RMO Column
Empower_WK.LN_CURRADDR,RMO Table,Empower_WK.LN_CURRADDR.FOREIGN_MAILING_COUNTRYCODE,RMO Column
Empower_WK.LN_PLANDAT3,RMO Table,Empower_WK.LN_PLANDAT3.INDEXDESCRIP,RMO Column
Empower_WK.LN_DEEDDATA,RMO Table,Empower_WK.LN_DEEDDATA.SECTION,RMO Column
Empower_WK.LN_FNIS_TAX_TAXLINE,RMO Table,Empower_WK.LN_FNIS_TAX_TAXLINE.AGENCYCODE,RMO Column
Empower_WK.LN_INITESCROWSCHED,RMO Table,Empower_WK.LN_INITESCROWSCHED.SCHED_MOS,RMO Column
Empower_WK.LN_INITESCROWSCHED,RMO Table,Empower_WK.LN_INITESCROWSCHED.SCHED_PMTSFROM,RMO Column
Empower_WK.LN_INITESCROWSCHED,RMO Table,Empower_WK.LN_INITESCROWSCHED.SCHED_PMTSDESC,RMO Column
Empower_WK.LN_INITESCROWSCHED,RMO Table,Empower_WK.LN_INITESCROWSCHED.SCHED_BALANCE,RMO Column
Empower_WK.LN_INITESCROW,RMO Table,Empower_WK.LN_INITESCROW.INIT_DEPOSIT,RMO Column
Empower_WK.LN_PLANDAT,RMO Table,Empower_WK.LN_PLANDAT.ROUNDRULE,RMO Column
Empower_WK.LN_PLANDAT,RMO Table,Empower_WK.LN_PLANDAT.MORTROUND,RMO Column
Empower_WK.LN_INITESCROW50,RMO Table,Empower_WK.LN_INITESCROW50.TABLE_DESC,RMO Column
Empower_WK.LN_DOCGEN,RMO Table,Empower_WK.LN_DOCGEN.APPRAISAL_ISSUED,RMO Column
Empower_WK.LN_INITESCROW,RMO Table,Empower_WK.LN_INITESCROW.TOTAL_CUSHION,RMO Column
Empower_WK.LN_INITESCROW,RMO Table,Empower_WK.LN_INITESCROW.MO_ESCROW_PMT,RMO Column
Empower_WK.LN_ARMDISC,RMO Table,Empower_WK.LN_ARMDISC.MAX_PER_ADJ,RMO Column
Empower_WK.LN_CALC,RMO Table,Empower_WK.LN_CALC.LTV_MAND_DATE,RMO Column
